FirmName,City,Country,WebDev,No.of Employee,Website Url
ClearSummit,"Marina del Rey,",CA,20%, 10 - 49,http://clearsumm.it/?utm_source=clutch&utm_medium=referral&utm_campaign=developers-python-django
Profil Software,"Gdynia,",Poland,50%, 10 - 49,https://profil-software.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-python-django
STX Next,"Poznań,",Poland,40%, 250 - 999,https://stxnext.com/?utm_source=clutch&utm_medium=referral&utm_campaign=clutch-python-django
BairesDev,"Ciudad Autónoma de Buenos Aires,",Argentina,30%," 1,000 - 9,999",https://www.bairesdev.com/?utm_source=clutch&utm_medium=referral&utm_campaign=python
Parthenon Software Group,"Portland,",OR,30%, 10 - 49,https://www.parthenonsoftware.com/?utm_source=clutch&utm_medium=referral&utm_campaign=developers-python-django
WIS Software,"Rostov-on-Don,",Russia,90%, 50 - 249,https://wis.software/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-python-django
UVIK Software,"Chernivtsi,",Ukraine,100%, 10 - 49,https://uvik.net/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-python-django
Netguru,"Poznan,",Poland,30%, 250 - 999,https://www.netguru.com/?utm_source=clutch&utm_medium=referral&utm_campaign=developers-python-django
Logicify,"Gdansk,",Poland,55%, 10 - 49,https://www.logicify.com/?utm_source=clutch&utm_medium=referral&utm_campaign=python-and-django-developers
SoftKraft,"Bielsko-Biała,",Poland,20%, 10 - 49,https://www.softkraft.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-python-django
Octobot,"Montevideo,",Uruguay,20%, 10 - 49,https://www.octobot.io
Innuy,"Montevideo,",Uruguay,25%, 2 - 9,http://www.innuy.com/?utm_source=clutch&utm_medium=referral&utm_campaign=developers-python-django
JMR Technologies,"Warsaw,",Poland,40%, 10 - 49,http://www.jmr.pl/en/
Django Stars,"Kiev,",Ukraine,60%, 50 - 249,http://djangostars.com/#hello-clutch
Merixstudio,"Poznań,",Poland,30%, 50 - 249,https://www.merixstudio.com/why-merix?utm_source=clutch&utm_medium=referral&utm_campaign=python-developers
Sunscrapers,"Warsaw,",Poland,60%, 10 - 49,https://sunscrapers.com/?utm_source=clutch.co&utm_medium=main-profile
Quintagroup,"Lviv,",Ukraine,100%, 50 - 249,https://quintagroup.com/
10Clouds,"Warsaw,",Poland,45%, 50 - 249,https://10clouds.com/?utm_source=clutch&utm_medium=referral&utm_campaign=developers-python-django
Tivix,"San Francisco,",CA,45%, 50 - 249,https://www.tivix.com/?utm_source=clutch&utm_campaign=sponsorship
Caktus Group,"Durham,",NC,50%, 10 - 49,http://www.caktusgroup.com/
Divio AG,"Zurich,",Switzerland,60%, 10 - 49,https://www.divio.com
Codal,"Chicago,",IL,15%, 50 - 249,https://www.codal.com/?utm_source=clutch&utm_medium=referral
Imaginary Landscape,"Chicago,",IL,40%, 10 - 49,http://www.imagescape.com
Devsar,"La Plata,",Argentina,60%, 10 - 49,https://www.devsar.com/?utm_source=clutch.co&utm_medium=referral
Idego Group,"Gdynia,",Poland,60%, 10 - 49,http://idego-group.com/
SteelKiwi,"Odessa,",Ukraine,30%, 50 - 249,https://steelkiwi.com/
Eldarion,"Burlington,",MA,50%, 10 - 49,http://eldarion.com/
The Story | UX Design + Software development,"Warsaw,",Poland,40%, 10 - 49,https://www.thestory.pl/
Capital Numbers,"Kolkata,",India,50%, 250 - 999,https://www.capitalnumbers.com/?utm_source=clutch.co&utm_medium=referral
SoftFormance,"Lviv,",Ukraine,100%, 10 - 49,http://www.softformance.com/
KnubiSoft,"London,",United Kingdom,40%, 10 - 49,http://www.knubisoft.com
WEBCASE,"Berdyansk,",Ukraine,20%, 10 - 49,http://webcase.studio
Mirumee,"Wrocław,",Poland,30%, 10 - 49,https://mirumee.com
Netlandish,"Los Angeles,",CA,50%, 2 - 9,http://www.netlandish.com/
Arbisoft,"Mckinney,",TX,20%, 250 - 999,https://arbisoft.com/
Cheesecake Labs,"Florianópolis,",Brazil,20%, 50 - 249,https://cheesecakelabs.com/?utm_source=clutch&utm_medium=listing&utm_campaign=clutch2019
"Agosto, Inc.","Saint Paul,",MN,10%, 10 - 49,http://www.agosto.com
Gearheart.io,"Kiev,",Ukraine,90%, 10 - 49,https://gearheart.io/
Jellyfish.tech,"Zaporizhia,",Ukraine,80%, 10 - 49,http://jellyfish.tech
Reef Technologies,"Warszawa,",Poland,70%, 10 - 49,http://reef.pl
42 Coffee Cups,"Atlanta,",GA,50%, 10 - 49,http://42coffeecups.com
OneCore Media,"Toronto,",Canada,20%, 10 - 49,http://onecoremedia.com/
Isotoma,"York,",United Kingdom,30%, 10 - 49,https://www.isotoma.com/
Pulilab,"Budapest,",Hungary,40%, 10 - 49,http://www.pulilab.com/
Labcodes Software Studio,"Recife,",Brazil,60%, 10 - 49,https://labcodes.com.br/?utm_source=clutch&utm_medium=referral&utm_campaign=clutch
Hipo,"Toronto,",Canada,30%, 10 - 49,http://hipolabs.com
Vinta Software,"Recife,",Brazil,60%, 10 - 49,https://www.vintasoftware.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-python-django
Fingent,"White Plains,",NY,50%, 50 - 249,https://www.fingent.com/pages/enterprise-software-developers?utm_source=Clutch&utm_medium=DiamondSponsorship&utm_campaign=website
The7bits,"Poltava,",Ukraine,50%, 2 - 9,http://the7bits.com/
Tintash,"Raleigh,",NC,40%, 50 - 249,http://www.tintash.com/
KeyUA,"London,",United Kingdom,80%, 50 - 249,http://www.keyua.org
247 Labs Inc.,"Toronto,",Canada,20%, 10 - 49,https://247labs.com/?utm_source=clutch&utm_medium=referral
Enkonix,"Amsterdam,",Netherlands,60%, 10 - 49,https://enkonix.com/?utm_source=clutch.co&utm_medium=referral
Evrone,"San Francisco,",CA,50%, 50 - 249,http://evrone.com
Iflexion,"Denver,",CO,50%, 50 - 249,https://www.iflexion.com/
Bravelab.io,"Krakow,",Poland,50%, 10 - 49,https://bravelab.io
Aubergine Solutions Pvt. Ltd.,"Ahmedabad,",India,34%, 10 - 49,http://www.auberginesolutions.com
Toptal,"San Francisco,",CA,20%," 1,000 - 9,999",https://www.toptal.com/
Ermlab,"Olsztyn,",Poland,60%, 10 - 49,https://ermlab.com
AnvilEight,"Kharkiv,",Ukraine,30%, 10 - 49,https://anvileight.com/
Scopic Software,"Rutland,",MA,70%, 50 - 249,https://scopicsoftware.com/?utm_source=Clutch%20Profile&utm_medium=CTA&utm_campaign=Visit%20Website
MobiDev,"Atlanta,",GA,15%, 250 - 999,https://mobidev.biz/?utm_source=clutch&utm_medium=referral
Arello Mobile,"Washington,",DC,20%, 50 - 249,http://arello-mobile.com
Pyspring,"Montevideo,",Uruguay,30%, 10 - 49,http://www.pyspring.com
EMERGE,"Portland,",OR,20%, 50 - 249,https://www.emergeinteractive.com/?utm_source=clutch.com&utm_medium=referral
Owlab Inc.,"Poltava,",Ukraine,30%, 10 - 49,https://owlab.group
Diceus,"Kyiv,",Ukraine,40%, 50 - 249,https://diceus.com
Evince Development,"New York City,",NY,60%, 50 - 249,https://evincedev.com/?utm_source=clutch&utm_medium=web-sponsor&utm_campaign=web&utm_content=development
Hack Soft,"Sofia,",Bulgaria,30%, 10 - 49,https://hacksoft.io/
Ulam Labs,"Wrocław,",Poland,30%, 10 - 49,https://ulam.io
Heads and Hands,"Saint-Petersburg,",Russia,10%, 50 - 249,https://handh.ru/en
Graffersid,"Indore,",India,15%, 10 - 49,https://www.graffersid.com
Direct Line Development,"King Of Prussia,",PA,20%, 50 - 249,http://www.directlinedev.com
Bright Bridge Web,"Provo,",UT,90%, 10 - 49,http://www.brightbridgeweb.com/?utm_source=clutch&utm_medium=referral
AXAT Technologies PVT LTD,"Mumbai,",India,60%, 10 - 49,http://www.axattechnologies.com/?utm_source=clutch.co&utm_medium=referral
Net Solutions,"Chandigarh,",India,40%, 50 - 249,http://www.netsolutions.com/
